course_id,location_name,city,state
115045J,Head Office - Unit 106 3 Railway Pde BURWOOD,BURWOOD,NSW
094462C,"269 Sussex Street, Sydney",Sydney,NSW
094462C,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
094463B,"269 Sussex Street, Sydney",Sydney,NSW
094463B,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
095396M,"269 Sussex Street, Sydney",Sydney,NSW
095396M,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
104315E,"269 Sussex Street, Sydney",Sydney,NSW
104315E,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
105400M,"269 Sussex Street, Sydney",Sydney,NSW
105400M,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
105938K,"269 Sussex Street, Sydney",Sydney,NSW
105938K,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
105939J,"269 Sussex Street, Sydney",Sydney,NSW
105939J,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
106861G,"269 Sussex Street, Sydney",Sydney,NSW
106861G,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
106862F,"269 Sussex Street, Sydney",Sydney,NSW
106862F,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
111149M,"269 Sussex Street, Sydney",Sydney,NSW
111149M,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
112367D,"269 Sussex Street, Sydney",Sydney,NSW
112367D,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
113074J,"269 Sussex Street, Sydney",Sydney,NSW
113074J,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
113465E,"269 Sussex Street, Sydney",Sydney,NSW
113465E,Level 4 38 Cavill Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,QLD
0101915,Collins Street,Melbourne,VIC
103987F,Collins Street,Melbourne,VIC
104316D,Collins Street,Melbourne,VIC
106370D,Collins Street,Melbourne,VIC
106371C,Collins Street,Melbourne,VIC
107343K,Collins Street,Melbourne,VIC
107343K,Richmond Kitchen,RICHMOND,VIC
107344J,Collins Street,Melbourne,VIC
107344J,Richmond Kitchen,RICHMOND,VIC
107345H,Collins Street,Melbourne,VIC
107345H,Richmond Kitchen,RICHMOND,VIC
109527H,Collins Street,Melbourne,VIC
109527H,Richmond Kitchen,RICHMOND,VIC
109860F,Collins Street,Melbourne,VIC
109860F,Richmond Kitchen,RICHMOND,VIC
110319F,Collins Street,Melbourne,VIC
111248H,Collins Street,Melbourne,VIC
111489B,Collins Street,Melbourne,VIC
112200E,Collins Street,Melbourne,VIC
112200E,Richmond Kitchen,RICHMOND,VIC
112679K,Collins Street,Melbourne,VIC
112680F,Collins Street,Melbourne,VIC
112681E,Collins Street,Melbourne,VIC
0101113,Perth Campus,WEST PERTH,WA
0101113,Tasmania Campus,Derwent Park,TAS
103784F,Perth Campus,WEST PERTH,WA
103784F,Tasmania Campus,Derwent Park,TAS
103805F,Perth Campus,WEST PERTH,WA
103805F,Tasmania Campus,Derwent Park,TAS
107180B,Perth Campus,WEST PERTH,WA
107180B,Tasmania Campus,Derwent Park,TAS
109302C,Perth Campus,WEST PERTH,WA
109302C,Tasmania Campus,Derwent Park,TAS
110280E,Perth Campus,WEST PERTH,WA
110280E,Tasmania Campus,Derwent Park,TAS
111503J,Perth Campus,WEST PERTH,WA
111503J,Tasmania Campus,Derwent Park,TAS
095266K,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
095266K,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
095266K,Sydney City Campus,SYDNEY,NSW
095269G,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
095269G,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
095269G,Sydney City Campus,SYDNEY,NSW
102231C,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
102231C,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
102231C,Sydney City Campus,SYDNEY,NSW
103988E,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
103988E,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
103988E,Sydney City Campus,SYDNEY,NSW
104079A,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
104079A,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
104079A,Sydney City Campus,SYDNEY,NSW
104317C,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
104317C,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
104317C,Sydney City Campus,SYDNEY,NSW
105408C,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
105408C,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
105408C,Sydney City Campus,SYDNEY,NSW
105409B,Brisbane Campus - 252 St Pauls Terrace Fortitude Valley,Fortitude Valley,QLD
105409B,Melbourne City Campus 301-311 Flinders Lane MELBOURNE VIC,MELBOURNE,VIC
